Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-21 21:07:37.452,    0.000,UDP  ,10102_244,5399,EXT_SERVER,5060,       1,     441,    1,......,  0,suspicious,---,---,---
2017-03-21 21:08:27.015,    0.000,UDP  ,10041_1,51477,EXT_SERVER,1900,       1,     122,    1,......,  0,suspicious,---,---,---
2017-03-21 21:13:40.210,    0.000,UDP  ,18360_183,45078,EXT_SERVER,19,       1,      46,    1,......,  0,suspicious,---,---,---
2017-03-21 21:21:43.503,    0.000,UDP  ,14278_27,33927,EXT_SERVER,1434,       1,      46,    1,......,  0,suspicious,---,---,---
2017-03-21 21:21:43.508,    0.000,UDP  ,14278_26,57110,EXT_SERVER,1434,       1,      46,    1,......,  0,suspicious,---,---,---
2017-03-21 21:25:11.899,    0.000,UDP  ,10025_123,5100,EXT_SERVER,5060,       1,     434,    1,......,  0,suspicious,---,---,---
2017-03-21 21:37:04.120,    0.017,UDP  ,10014_199,123,EXT_SERVER,54420,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 21:37:04.120,    0.017,UDP  ,EXT_SERVER,54420,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 21:40:10.293,    0.000,UDP  ,13484_89,5084,EXT_SERVER,5060,       1,     441,    1,......,  0,suspicious,---,---,---
2017-03-21 21:43:09.576,    0.000,UDP  ,19279_147,5065,EXT_SERVER,5060,       1,     435,    1,......,  0,suspicious,---,---,---
2017-03-21 21:43:18.983,    0.000,UDP  ,12193_161,5087,EXT_SERVER,5060,       1,     432,    1,......,  0,suspicious,---,---,---
2017-03-21 21:49:40.977,    0.000,UDP  ,19291_78,5063,EXT_SERVER,5060,       1,     424,    1,......,  0,suspicious,---,---,---
2017-03-21 21:59:25.458,    0.000,UDP  ,10649_91,5426,EXT_SERVER,5060,       1,     438,    1,......,  0,suspicious,---,---,---
2017-03-21 22:10:17.768,    0.000,UDP  ,19307_109,5069,EXT_SERVER,5060,       1,     444,    1,......,  0,suspicious,---,---,---
2017-03-21 22:11:12.370,    0.015,UDP  ,10014_199,123,EXT_SERVER,55985,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 22:11:12.370,    0.015,UDP  ,EXT_SERVER,55985,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 22:11:20.551,    0.000,UDP  ,10025_123,5060,EXT_SERVER,5060,       1,     437,    1,......,  0,suspicious,---,---,---
2017-03-21 22:31:29.784,    0.000,UDP  ,19323_126,44242,EXT_SERVER,1900,       1,     122,    1,......,  0,suspicious,---,---,---
2017-03-21 22:34:27.856,    0.000,UDP  ,19327_67,22039,EXT_SERVER,1900,       1,     122,    1,......,  0,suspicious,---,---,---
2017-03-21 22:45:20.620,    0.015,UDP  ,10014_199,123,EXT_SERVER,58288,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 22:45:20.620,    0.015,UDP  ,EXT_SERVER,58288,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 22:57:09.601,    0.000,UDP  ,10025_123,5090,EXT_SERVER,5060,       1,     436,    1,......,  0,suspicious,---,---,---
2017-03-21 22:58:34.256,    0.000,UDP  ,19351_204,15781,EXT_SERVER,40464,       1,      48,    1,......,  0,suspicious,---,---,---
2017-03-21 23:02:27.472,    0.000,UDP  ,10448_71,47248,EXT_SERVER,1900,       1,     118,    1,......,  0,suspicious,---,---,---
2017-03-21 23:14:14.231,    0.000,UDP  ,19359_155,37418,EXT_SERVER,123,       1,      46,    1,......,  0,suspicious,---,---,---
2017-03-21 23:19:28.871,    0.016,UDP  ,10014_199,123,EXT_SERVER,53864,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 23:19:28.871,    0.016,UDP  ,EXT_SERVER,53864,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 23:28:07.883,    0.000,UDP  ,19034_17,51771,EXT_SERVER,9987,       1,      46,    1,......,  0,suspicious,---,---,---
2017-03-21 23:29:34.635,    0.000,UDP  ,15577_51,51730,EXT_SERVER,1900,       1,     122,    1,......,  0,suspicious,---,---,---
2017-03-21 23:43:15.820,    0.000,UDP  ,10025_123,5081,EXT_SERVER,5060,       1,     438,    1,......,  0,suspicious,---,---,---
2017-03-21 23:52:17.288,    0.000,UDP  ,14153_59,5219,EXT_SERVER,5080,       1,     441,    1,......,  0,suspicious,---,---,---
2017-03-21 23:53:37.121,    0.017,UDP  ,10014_199,123,EXT_SERVER,32914,       1,      76,    1,......,  0,suspicious,---,---,---
2017-03-21 23:53:37.121,    0.017,UDP  ,EXT_SERVER,32914,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
